Country;Total Deaths;Total Recovered;Total Tests;Population;Ladder score;Standard error of ladder score;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Ladder score in Dystopia;Explained by: Log GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;Dystopia + residual
India;482,017;34,306,414;682,428,595;1,400,420,753;3,819;0,026;8,755;0,603;60,633;0,893;0,089;0,774;2,43;0,741;0,316;0,383;0,622;0,246;0,106;1,405
Indonesia;144,105;4,114,969;64,158,227;277,875,710;5,345;0,056;9,365;0,811;62,236;0,873;0,542;0,867;2,43;0,954;0,786;0,433;0,598;0,541;0,046;1,987
Iran;131,736;6,044,247;42,281,617;85,610,313;4,721;0,055;9,584;0,71;66,3;0,608;0,218;0,714;2,43;1,03;0,557;0,561;0,275;0,33;0,144;1,823
Iraq;24,182;2,066,049;16,865,438;41,579,139;4,854;0,059;9,24;0,746;60,583;0,63;-0,053;0,875;2,43;0,91;0,638;0,381;0,302;0,153;0,041;2,429
Ireland;5,912;583,182;9,975,030;5,020,776;7,085;0,04;11,342;0,947;72,4;0,879;0,077;0,363;2,43;1,644;1,092;0,753;0,606;0,238;0,367;2,384
Israel;8,247;1,354,849;39,492,099;9,326,000;7,157;0,034;10,575;0,939;73,503;0,8;0,031;0,753;2,43;1,376;1,074;0,788;0,509;0,208;0,119;3,083
Italy;137,786;5,133,272;141,992,517;60,327,961;6,483;0,045;10,623;0,88;73,8;0,693;-0,084;0,866;2,43;1,393;0,94;0,798;0,379;0,133;0,047;2,794
Ivory Coast;720;62,517;1,240,423;27,359,845;5,306;0,078;8,551;0,644;50,114;0,741;-0,016;0,794;2,43;0,669;0,409;0,052;0,438;0,177;0,092;3,469
Jamaica;2,477;65,937;712,42;2,980,623;6,309;0,156;9,186;0,877;67,5;0,89;-0,137;0,884;2,43;0,891;0,932;0,599;0,618;0,099;0,035;3,135
Japan;18,396;1,712,736;29,405,470;125,893,458;5,94;0,04;10,611;0,884;75,1;0,796;-0,258;0,638;2,43;1,389;0,949;0,838;0,504;0,02;0,192;2,048
Jordan;12,742;1,027,501;13,637,305;10,355,554;4,395;0,062;9,182;0,767;67;0,755;-0,167;0,705;2,43;0,89;0,685;0,583;0,455;0,079;0,15;1,553
Kazakhstan;13,025;961,806;11,575,012;19,114,618;6,152;0,047;10,155;0,952;65,2;0,853;-0,069;0,733;2,43;1,23;1,103;0,527;0,573;0,143;0,132;2,446
Kenya;5,401;258,533;3,056,954;55,551,636;4,607;0,072;8,361;0,688;60,704;0,779;0,287;0,825;2,43;0,603;0,508;0,385;0,483;0,375;0,073;2,18
Kuwait;2,468;412,073;6,025,332;4,365,570;6,106;0,066;10,817;0,843;66,9;0,867;-0,104;0,736;2,43;1,461;0,857;0,58;0,591;0,12;0,13;2,368
Kyrgyzstan;2,805;179,947;1,907,195;6,686,076;5,744;0,046;8,538;0,893;64,401;0,935;0,119;0,908;2,43;0,665;0,971;0,501;0,673;0,266;0,02;2,648
Laos;403;7,339;923,36;7,434,366;5,03;0,045;8,947;0,728;58,968;0,91;0,123;0,658;2,43;0,808;0,598;0,33;0,643;0,268;0,179;2,204
Latvia;4,6;263,011;5,630,139;1,854,791;6,032;0,036;10,315;0,927;67,1;0,715;-0,162;0,8;2,43;1,285;1,047;0,587;0,405;0,082;0,089;2,536
Lebanon;9,174;659,448;4,795,578;6,779,419;4,584;0,055;9,626;0,848;67,355;0,525;-0,073;0,898;2,43;1,045;0,868;0,595;0,175;0,14;0,026;1,736
Lesotho;673;16,313;346,608;2,167,807;3,512;0,12;7,926;0,787;48,7;0,715;-0,131;0,915;2,43;0,451;0,731;0,007;0,405;0,103;0,015;1,8
Liberia;287;5,535;139,824;5,236,337;4,625;0,106;7,288;0,72;56,498;0,735;0,05;0,85;2,43;0,228;0,58;0,253;0,43;0,221;0,057;2,857
Libya;5,74;378,046;2,047,489;7,011,851;5,41;0,076;9,622;0,827;62,3;0,771;-0,087;0,667;2,43;1,044;0,821;0,435;0,474;0,131;0,174;2,331
Lithuania;7,462;491,641;6,652,931;2,665,080;6,255;0,045;10,499;0,935;67,906;0,773;-0,203;0,826;2,43;1,35;1,065;0,612;0,476;0,056;0,073;2,624
Luxembourg;917;95,994;3,824,957;641,294;7,324;0,037;11,647;0,908;72,6;0,907;-0,034;0,386;2,43;1,751;1,003;0,76;0,639;0,166;0,353;2,653
Madagascar;1,027;44,708;320,884;28,760,662;4,208;0,072;7,396;0,686;59,305;0,552;-0,005;0,803;2,43;0,266;0,503;0,341;0,207;0,185;0,087;2,62
Malawi;2,378;60,699;4,900,950;19,872,698;3,6;0,092;6,958;0,537;57,948;0,78;0,038;0,729;2,43;0,113;0,168;0,298;0,484;0,213;0,134;2,19
Malaysia;31,56;2,695,751;41,440,452;32,989,862;5,384;0,049;10,238;0,817;67,102;0,895;0,125;0,839;2,43;1,259;0,797;0,587;0,624;0,27;0,064;1,784
Maldives;262;93,41;1,887,635;554,86;5,198;0,072;9,826;0,913;70,6;0,854;0,024;0,825;2,43;1,115;1,015;0,697;0,575;0,204;0,073;1,52
Mali;668;18,925;542,137;21,126,990;4,723;0,082;7,744;0,724;51,969;0,697;-0,036;0,827;2,43;0,387;0,59;0,11;0,384;0,164;0,072;3,016
Malta;479;41,196;1,211,456;443,313;6,602;0,044;10,674;0,931;72,2;0,927;0,133;0,653;2,43;1,411;1,055;0,747;0,664;0,275;0,183;2,268
Mauritania;872;39,326;571,185;4,833,287;4,227;0,07;8,542;0,795;57,161;0,561;-0,106;0,731;2,43;0,666;0,749;0,273;0,218;0,119;0,133;2,069
Mauritius;762;21,952;358,675;1,274,945;6,049;0,059;10,008;0,905;66,701;0,867;-0,054;0,789;2,43;1,178;0,996;0,574;0,59;0,153;0,096;2,462
Mexico;299,581;3,315,699;12,425,179;130,971,060;6,317;0,053;9,859;0,831;68,597;0,862;-0,147;0,799;2,43;1,126;0,83;0,634;0,585;0,092;0,089;2,961
Moldova;10,306;362,868;2,425,628;4,019,846;5,766;0,046;9,454;0,857;65,699;0,822;-0,079;0,918;2,43;0,985;0,888;0,542;0,536;0,137;0,013;2,665
Mongolia;2,062;313,256;4,030,048;3,357,690;5,677;0,042;9,4;0,935;62,5;0,708;0,116;0,856;2,43;0,966;1,065;0,442;0,397;0,263;0,053;2,492
Montenegro;2,422;160,321;1,000,184;628,186;5,581;0,054;9,94;0,858;68,699;0,708;-0,034;0,812;2,43;1,155;0,891;0,637;0,397;0,166;0,081;2,254
Morocco;14,867;943,07;10,908,444;37,568,791;4,918;0,06;8,903;0,56;66,208;0,774;-0,236;0,801;2,43;0,792;0,219;0,558;0,477;0,034;0,088;2,749
Mozambique;2,031;158,68;1,108,800;32,570,890;4,794;0,103;7,158;0,744;54,706;0,882;0,061;0,684;2,43;0,183;0,634;0,196;0,608;0,228;0,163;2,783
Myanmar;19,277;508,926;6,065,490;54,958,794;4,426;0,052;8,541;0,779;59,302;0,876;0,509;0,66;2,43;0,666;0,713;0,341;0,601;0,52;0,178;1,407
Namibia;3,656;133,194;877,016;2,610,098;4,574;0,064;9,161;0,818;56,799;0,719;-0,149;0,847;2,43;0,882;0,801;0,262;0,411;0,091;0,059;2,068
Nepal;11,601;812,937;4,887,818;29,924,836;5,269;0,07;8,12;0,774;64,233;0,782;0,152;0,727;2,43;0,519;0,702;0,496;0,488;0,287;0,135;2,642
Netherlands;20,99;2,730,983;21,107,399;17,191,949;7,464;0,027;10,932;0,942;72,4;0,913;0,175;0,338;2,43;1,501;1,079;0,753;0,647;0,302;0,384;2,798
New Zealand;51;13,171;5,617,107;5,002,100;7,277;0,04;10,643;0,948;73,4;0,929;0,134;0,242;2,43;1,4;1,094;0,785;0,665;0,276;0,445;2,612
Nicaragua;212;4,225;;6,743,135;5,972;0,083;8,62;0,864;67,657;0,836;0,02;0,664;2,43;0,693;0,904;0,604;0,553;0,201;0,176;2,841
Niger;277;6,958;204,737;25,521,928;5,074;0,102;7,098;0,641;53,78;0,806;0,018;0,693;2,43;0,162;0,402;0,167;0,516;0,2;0,157;3,47
Nigeria;3,045;216,18;3,823,309;213,817,196;4,759;0,052;8,533;0,74;50,102;0,737;0,037;0,878;2,43;0,663;0,625;0,051;0,433;0,212;0,039;2,736
North Macedonia;7,996;213,505;1,619,276;2,083,245;5,101;0,051;9,693;0,805;65,474;0,751;0,038;0,905;2,43;1,068;0,772;0,535;0,45;0,212;0,022;2,042
