Country;Continent;Total Deaths;Total Cases;Total Tests;Population;Ladder score;Standard error of ladder score;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;;
Madagascar;Africa;1027;44708;320884;28760662;4,208;0,072;7,396;0,686;59,305;0,552;-0,005;0,803;;
Malawi;Africa;2378;60699;4900950;19872698;3,600;0,092;6,958;0,537;57,948;0,780;0,038;0,729;;
Malaysia;Asia;3156;2695751;41440452;32989862;5,384;0,049;10,238;0,817;67,102;0,895;0,125;0,839;;
Maldives;Asia;262;9341;1887635;55486;5,198;0,072;9,826;0,913;70,600;0,854;0,024;0,825;;
Mali;Africa;668;18925;542137;21126990;4,723;0,082;7,744;0,724;51,969;0,697;-0,036;0,827;;
Malta;Europe;479;41196;1211456;443313;6,602;0,044;10,674;0,931;72,200;0,927;0,133;0,653;;
Mauritania;Africa;872;39326;571185;4833287;4,227;0,070;8,542;0,795;57,161;0,561;-0,106;0,731;;
Mauritius;Asia;762;21952;358675;1274945;6,049;0,059;10,008;0,905;66,701;0,867;-0,054;0,789;;
Mexico;North America;299581;3315699;12425179;130971060;6,317;0,053;9,859;0,831;68,597;0,862;-0,147;0,799;;
Moldova;Europe;10306;362868;2425628;4019846;5,766;0,046;9,454;0,857;65,699;0,822;-0,079;0,918;;
Mongolia;Asia;2062;313256;4030048;3357690;5,677;0,042;9,400;0,935;62,500;0,708;0,116;0,856;;
Montenegro;Europe;2422;160321;1000184;628186;5,581;0,054;9,940;0,858;68,699;0,708;-0,034;0,812;;
Morocco;Africa;14867;94307;10908444;37568791;4,918;0,060;8,903;0,560;66,208;0,774;-0,236;0,801;;
Mozambique;Africa;2031;15868;1108800;32570890;4,794;0,103;7,158;0,744;54,706;0,882;0,061;0,684;;
Myanmar;Asia;19277;508926;6065490;54958794;4,426;0,052;8,541;0,779;59,302;0,876;0,509;0,660;;
Namibia;Africa;3656;133194;877016;2610098;4,574;0,064;9,161;0,818;56,799;0,719;-0,149;0,847;;
Nepal;Asia;11601;812937;4887818;29924836;5,269;0,070;8,120;0,774;64,233;0,782;0,152;0,727;;
Netherlands;Europe;2099;2730983;21107399;17191949;7,464;0,027;10,932;0,942;72,400;0,913;0,175;0,338;;
New Zealand;Oceania;51;13171;5617107;5002100;7,277;0,040;10,643;0,948;73,400;0,929;0,134;0,242;;
Nicaragua;North America;212;4225;;6743135;5,972;0,083;8,620;0,864;67,657;0,836;0,020;0,664;;
Niger;Africa;277;6958;204737;25521928;5,074;0,102;7,098;0,641;53,780;0,806;0,018;0,693;;
Nigeria;Africa;3045;21618;3823309;213817196;4,759;0,052;8,533;0,740;50,102;0,737;0,037;0,878;;
North Macedonia;Europe;7996;213505;1619276;2083245;5,101;0,051;9,693;0,805;65,474;0,751;0,038;0,905;;
Norway;Europe;1305;88952;9341906;5485039;7,392;0,035;11,053;0,954;73,300;0,960;0,093;0,270;;
Pakistan;Asia;28945;1257355;23558972;227341074;4,934;0,068;8,458;0,651;58,709;0,726;0,098;0,787;;
Palestine;Asia;4678;432266;2866266;5279645;4,517;0,067;8,485;0,826;62,250;0,653;-0,163;0,821;;
Panama;North America;744;476662;4541240;4416924;6,180;0,073;10,350;0,896;69,652;0,872;-0,166;0,856;;
Paraguay;South America;16642;448387;2050098;7264351;5,653;0,092;9,448;0,893;65,900;0,876;0,028;0,882;;
Philippines;Asia;51604;2779706;25372205;111775185;5,880;0,052;9,076;0,830;62,000;0,917;-0,097;0,742;;
Poland;Europe;98034;3673234;27487093;37784199;6,166;0,040;10,382;0,898;69,702;0,841;-0,165;0,735;;
Portugal;Europe;19015;1227642;27237600;10151941;5,929;0,055;10,421;0,879;72,600;0,892;-0,244;0,887;;
Romania;Europe;58866;1745012;17222335;19044433;6,140;0,057;10,284;0,832;67,355;0,845;-0,219;0,938;;
Russia;Europe;312187;9575147;241700000;146028675;5,477;0,033;10,189;0,903;64,703;0,718;-0,111;0,845;;
Rwanda;Africa;1357;45522;4051802;13434690;3,415;0,068;7,676;0,552;61,400;0,897;0,061;0,167;;
Saudi Arabia;Asia;8883;543129;33623374;35629333;6,494;0,056;10,743;0,891;66,603;0,877;-0,149;0,684;;
Senegal;Africa;1891;7303;927703;17406877;5,132;0,068;8,118;0,710;59,802;0,695;-0,046;0,801;;
Serbia;Europe;12806;1267857;7297175;8684375;6,078;0,053;9,787;0,873;68,600;0,778;0,002;0,835;;
Singapore;Asia;829;276643;21098774;5919588;6,377;0,043;11,488;0,915;76,953;0,927;-0,018;0,082;;
Slovakia;Europe;16788;794282;5130450;5463624;6,331;0,041;10,369;0,936;69,201;0,766;-0,124;0,911;;
Slovenia;Europe;5623;445097;2093238;2079368;6,461;0,043;10,529;0,948;71,400;0,949;-0,101;0,806;;
South Africa;Africa;91312;3224152;21304188;60433670;4,956;0,060;9,403;0,860;56,904;0,749;-0,067;0,860;;
South Korea;Asia;5781;537043;15804065;51335615;5,845;0,042;10,651;0,799;73,900;0,672;-0,083;0,727;;
Spain;Europe;89573;5099647;66213858;46782044;6,491;0,042;10,571;0,932;74,700;0,761;-0,081;0,745;;
Sri Lanka;Asia;15037;561128;5726599;21548402;4,325;0,066;9,470;0,827;67,299;0,841;0,079;0,863;;
Swaziland;Africa;1315;61621;432678;1178239;4,308;0,071;9,065;0,770;50,833;0,647;-0,185;0,708;;
Sweden;Europe;15286;1201973;15268363;10194049;7,363;0,036;10,867;0,934;72,700;0,945;0,086;0,237;;
Switzerland;Europe;12359;1051308;14490481;8749879;7,571;0,036;11,117;0,942;74,400;0,919;0,025;0,292;;
Taiwan;Asia;850;15909;9342349;23881673;6,584;0,038;10,871;0,898;69,600;0,784;-0,070;0,721;;
Tajikistan;Asia;124;16966;;9859632;5,466;0,034;8,091;0,860;64,281;0,832;-0,056;0,553;;
Thailand;Asia;2175;2180321;17270775;70063653;5,985;0,047;9,805;0,888;67,401;0,884;0,287;0,895;;
Togo;Africa;251;26219;621097;8570332;4,107;0,077;7,362;0,569;54,914;0,619;0,032;0,772;;
Tunisia;Africa;25588;696893;3396130;12004701;4,596;0,058;9,266;0,691;67,201;0,656;-0,201;0,870;;
Turkey;Asia;82795;9136290;119794419;85704606;4,948;0,046;10,240;0,822;67,199;0,576;-0,139;0,776;;
Uganda;Africa;3306;98497;2166777;47910290;4,636;0,073;7,677;0,781;56,101;0,709;0,122;0,855;;
Ukraine;Europe;96436;3483354;16835647;43338099;4,875;0,052;9,436;0,888;64,902;0,724;-0,011;0,924;;
United Arab Emirates;Asia;217;748511;113013841;10070188;6,561;0,039;11,085;0,844;67,333;0,932;0,074;0,589;;
United Kingdom;Europe;148893;10460659;404382130;68422788;7,064;0,038;10,707;0,934;72,500;0,859;0,233;0,459;;
United States;North America;848885;41722468;817668437;333924197;6,951;0,049;11,023;0,920;68,200;0,837;0,098;0,698;;
Uruguay;South America;6177;400381;4446124;3491853;6,431;0,046;9,966;0,925;69,100;0,896;-0,092;0,590;;
Uzbekistan;Asia;1485;196539;1377915;34198831;6,179;0,068;8,836;0,918;65,255;0,970;0,311;0,515;;
Venezuela;South America;5335;435097;3359014;28314621;4,892;0,064;9,073;0,861;66,700;0,615;-0,169;0,827;;
Vietnam;Asia;33021;1397157;75170635;98656568;5,411;0,039;8,973;0,850;68,034;0,940;-0,098;0,796;;
Yemen;Asia;1984;7039;265253;30813353;3,658;0,070;7,578;0,832;57,122;0,602;-0,147;0,800;;
Zambia;Africa;3762;230494;2996026;19157388;4,073;0,069;8,145;0,708;55,809;0,782;0,061;0,823;;
Zimbabwe;Africa;5047;185594;1857129;15188375;3,145;0,058;7,943;0,750;56,201;0,677;-0,047;0,821;;
