Country;Total Deaths;Total Cases;Total Tests;Population;Ladder score;Standard error of ladder score;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Ladder score in Dystopia;Explained by: Log GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;Dystopia + residual;;
Malta;479;41196;1211456;443313;6,602;0,044;10,674;0,931;72,200;0,927;0,133;0,653;2,430;1,411;1,055;0,747;0,664;0,275;0,183;2,268;;
Mauritania;872;39326;571185;4833287;4,227;0,070;8,542;0,795;57,161;0,561;-0,106;0,731;2,430;0,666;0,749;0,273;0,218;0,119;0,133;2,069;;
Mauritius;762;21952;358675;1274945;6,049;0,059;10,008;0,905;66,701;0,867;-0,054;0,789;2,430;1,178;0,996;0,574;0,590;0,153;0,096;2,462;;
Mexico;299581;3315699;12425179;130971060;6,317;0,053;9,859;0,831;68,597;0,862;-0,147;0,799;2,430;1,126;0,830;0,634;0,585;0,092;0,089;2,961;;
Moldova;10306;362868;2425628;4019846;5,766;0,046;9,454;0,857;65,699;0,822;-0,079;0,918;2,430;0,985;0,888;0,542;0,536;0,137;0,013;2,665;;
Mongolia;2062;313256;4030048;3357690;5,677;0,042;9,400;0,935;62,500;0,708;0,116;0,856;2,430;0,966;1,065;0,442;0,397;0,263;0,053;2,492;;
Montenegro;2422;160321;1000184;628186;5,581;0,054;9,940;0,858;68,699;0,708;-0,034;0,812;2,430;1,155;0,891;0,637;0,397;0,166;0,081;2,254;;
Morocco;14867;94307;10908444;37568791;4,918;0,060;8,903;0,560;66,208;0,774;-0,236;0,801;2,430;0,792;0,219;0,558;0,477;0,034;0,088;2,749;;
Mozambique;2031;15868;1108800;32570890;4,794;0,103;7,158;0,744;54,706;0,882;0,061;0,684;2,430;0,183;0,634;0,196;0,608;0,228;0,163;2,783;;
Myanmar;19277;508926;6065490;54958794;4,426;0,052;8,541;0,779;59,302;0,876;0,509;0,660;2,430;0,666;0,713;0,341;0,601;0,520;0,178;1,407;;
Namibia;3656;133194;877016;2610098;4,574;0,064;9,161;0,818;56,799;0,719;-0,149;0,847;2,430;0,882;0,801;0,262;0,411;0,091;0,059;2,068;;
Nepal;11601;812937;4887818;29924836;5,269;0,070;8,120;0,774;64,233;0,782;0,152;0,727;2,430;0,519;0,702;0,496;0,488;0,287;0,135;2,642;;
Netherlands;2099;2730983;21107399;17191949;7,464;0,027;10,932;0,942;72,400;0,913;0,175;0,338;2,430;1,501;1,079;0,753;0,647;0,302;0,384;2,798;;
New Zealand;51;13171;5617107;5002100;7,277;0,040;10,643;0,948;73,400;0,929;0,134;0,242;2,430;1,400;1,094;0,785;0,665;0,276;0,445;2,612;;
Nicaragua;212;4225;;6743135;5,972;0,083;8,620;0,864;67,657;0,836;0,020;0,664;2,430;0,693;0,904;0,604;0,553;0,201;0,176;2,841;;
Niger;277;6958;204737;25521928;5,074;0,102;7,098;0,641;53,780;0,806;0,018;0,693;2,430;0,162;0,402;0,167;0,516;0,200;0,157;3,470;;
Nigeria;3045;21618;3823309;213817196;4,759;0,052;8,533;0,740;50,102;0,737;0,037;0,878;2,430;0,663;0,625;0,051;0,433;0,212;0,039;2,736;;
North Macedonia;7996;213505;1619276;2083245;5,101;0,051;9,693;0,805;65,474;0,751;0,038;0,905;2,430;1,068;0,772;0,535;0,450;0,212;0,022;2,042;;
Norway;1305;88952;9341906;5485039;7,392;0,035;11,053;0,954;73,300;0,960;0,093;0,270;2,430;1,543;1,108;0,782;0,703;0,249;0,427;2,580;;
Pakistan;28945;1257355;23558972;227341074;4,934;0,068;8,458;0,651;58,709;0,726;0,098;0,787;2,430;0,637;0,423;0,322;0,418;0,252;0,097;2,784;;
Palestine;4678;432266;2866266;5279645;4,517;0,067;8,485;0,826;62,250;0,653;-0,163;0,821;2,430;0,646;0,819;0,434;0,330;0,082;0,075;2,131;;
Panama;744;476662;4541240;4416924;6,180;0,073;10,350;0,896;69,652;0,872;-0,166;0,856;2,430;1,298;0,976;0,667;0,596;0,079;0,053;2,509;;
Paraguay;16642;448387;2050098;7264351;5,653;0,092;9,448;0,893;65,900;0,876;0,028;0,882;2,430;0,983;0,970;0,549;0,602;0,206;0,037;2,306;;
Peru;202818;N/A;21881553;33662773;5,840;0,075;9,458;0,832;68,250;0,822;-0,154;0,891;2,430;0,986;0,833;0,623;0,536;0,087;0,031;2,744;;
Philippines;51604;2779706;25372205;111775185;5,880;0,052;9,076;0,830;62,000;0,917;-0,097;0,742;2,430;0,853;0,828;0,426;0,651;0,125;0,126;2,872;;
